,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
1531,18221893,Queen Room in River North Boutique Hotel,92467320,FieldHouse,,Near North Side,41.89824,-87.63599,Hotel room,86,1,301,2020-09-13,11.15,8,10
3072,29093342,Traveler's Dream - 1 bed in a shared bedroom,57387860,Freehand,,Near North Side,41.89122,-87.62852,Hotel room,31,5,52,2020-09-12,2.4,24,331
1371,16297519,Traveler's Dream - 1 bed in a shared bedroom,57387860,Freehand,,Near North Side,41.89235,-87.62732,Hotel room,31,5,14,2019-12-27,0.41,24,331
2084,21860008,Wrigley Hostel - 4 Bed Female Dorm,7391164,Wrigley Hostel,,Lake View,41.94587,-87.65463,Hotel room,35,1,24,2020-09-14,0.72,5,365
3073,29093360,Hotel Perks - Private Bedroom | Private Bathroom,57387860,Freehand,,Near North Side,41.8923,-87.62734,Hotel room,98,5,2,2020-02-22,0.24,24,331
1425,16975615,Hotel Perks - Private Bedroom | Private Bathroom,57387860,Freehand,,Near North Side,41.89235,-87.62732,Hotel room,98,7,49,2020-03-13,1.22,24,331
3557,33040811,Close to Mag Mile 2 Double Beds in Boutique Hotel,238417227,Ambassador,,Near North Side,41.90561,-87.62856,Hotel room,109,2,0,,,6,10
3436,32236600,Queen Suite with Balcony near Wrigley - Sleeps 4!,209354894,Wheelhouse,,Lake View,41.94603,-87.65443,Hotel room,131,1,5,2020-08-22,0.54,5,12
3820,34785627,Female Only - 1 Bed in a Shared Bedroom,57387860,Freehand,,Near North Side,41.89319,-87.62832,Hotel room,31,1,24,2020-09-19,1.52,24,331
3793,34647251,Quadruple Room: Perfect for Friends,57387860,Freehand,,Near North Side,41.89169,-87.61514,Hotel room,126,1,27,2020-03-13,1.91,24,291
2984,28538337,Traveler's Dream - 1 bed in a shared bedroom,57387860,Freehand,,Near North Side,41.89263,-87.62618,Hotel room,31,4,450,2020-09-18,18.91,24,331
3288,30816729,Hotel Quality Meets Local Living Deluxe Studio 4A,16090300,John,,West Town,41.90253,-87.6721,Hotel room,150,1,10,2020-09-15,0.52,10,132
1380,16403903,Traveler's Dream - 1 bed in a shared bedroom,57387860,Freehand,,Near North Side,41.89235,-87.62732,Hotel room,31,5,14,2020-03-13,0.32,24,331
126,1361421,Wrigley Hostel - Queen Bed Room,7391164,Wrigley Hostel,,Lake View,41.9459,-87.65461,Hotel room,105,1,33,2020-08-07,0.41,5,365
1345,15957773,Traveler's Dream - 1 bed in a shared bedroom,57387860,Freehand,,Near North Side,41.89235,-87.62732,Hotel room,31,7,12,2020-01-10,0.3,24,330
2975,28511244,Spacious King Room in Boutique Wicker Park B&B,81779,Laura,,West Town,41.90562,-87.67189,Hotel room,148,1,0,,,11,346
3287,30815437,Hotel Quality Meets Local Living Deluxe Studio 3A,16090300,John,,West Town,41.90226,-87.67221,Hotel room,150,1,3,2020-09-06,0.22,10,124
1380,16403903,Traveler's Dream - 1 bed in a shared bedroom,57387860,Freehand,,Near North Side,41.89235,-87.62732,Hotel room,31,5,14,2020-03-13,0.32,24,331
3513,32896171,Hotel Perks - Private Bedroom | Private Bathroom,57387860,Freehand,,Near North Side,41.8923,-87.62734,Hotel room,98,4,11,2020-03-06,0.59,24,331
3287,30815437,Hotel Quality Meets Local Living Deluxe Studio 3A,16090300,John,,West Town,41.90226,-87.67221,Hotel room,150,1,3,2020-09-06,0.22,10,124
5722,43078540,Found Hotel Chicago River North,315027620,Found Hotel Chicago River North,,Near North Side,41.89288,-87.63377,Hotel room,0,1,0,,,1,0
3288,30816729,Hotel Quality Meets Local Living Deluxe Studio 4A,16090300,John,,West Town,41.90253,-87.6721,Hotel room,150,1,10,2020-09-15,0.52,10,132
2274,23578326,Gritty Chic River North - ACME Hotel,176229376,Acme,,Near North Side,41.89299,-87.62788,Hotel room,110,1,117,2020-08-17,3.88,3,66
3074,29093384,Traveler's Dream - 1 bed in a shared bedroom,57387860,Freehand,,Near North Side,41.89114,-87.62666,Hotel room,31,5,68,2020-03-18,4.2,24,331
1480,17711999,"Bunk Suite in River North Hotel, 6 Beds!",92467320,FieldHouse,,Near North Side,41.89763,-87.635,Hotel room,158,1,141,2020-09-06,3.3,8,7
3555,33040765,Close to Mag Mile - King Bed in Boutique Hotel,238417227,Ambassador,,Near North Side,41.90554,-87.6279,Hotel room,129,2,0,,,6,47
2358,24222166,Gritty Chic River North + ACME Hotel,176229376,Acme,,Near North Side,41.89148,-87.61543,Hotel room,110,1,89,2020-09-07,3.02,3,166
2032,21676916,Premium Quad Room:  Great for Families or Friends,57387860,Freehand,,Near North Side,41.89235,-87.62732,Hotel room,160,4,59,2020-03-09,3.9,24,329
3072,29093342,Traveler's Dream - 1 bed in a shared bedroom,57387860,Freehand,,Near North Side,41.89122,-87.62852,Hotel room,31,5,52,2020-09-12,2.4,24,331
3558,33040837,Close to Mag Mile - Private Room with King Bed,238417227,Ambassador,,Near North Side,41.90552,-87.62785,Hotel room,99,2,0,,,6,48
4145,36668214,Steps from Mag Mile -Suite in Boutique Hotel,265201380,St Jane,,Loop,41.88607,-87.62443,Hotel room,9999,1,3,2019-08-25,0.22,3,173
1480,17711999,"Bunk Suite in River North Hotel, 6 Beds!",92467320,FieldHouse,,Near North Side,41.89763,-87.635,Hotel room,158,1,141,2020-09-06,3.3,8,7
72,642053,Large Double Queen Studio Apartment in Wicker Park,81779,Laura,,West Town,41.90567,-87.67311,Hotel room,160,2,11,2020-03-08,0.12,11,0
1371,16297519,Traveler's Dream - 1 bed in a shared bedroom,57387860,Freehand,,Near North Side,41.89235,-87.62732,Hotel room,31,5,14,2019-12-27,0.41,24,331
3294,30819025,Hotel Quality Meets Local Living Deluxe Studio 4B,16090300,John,,West Town,41.90196,-87.67118,Hotel room,140,1,18,2020-08-23,0.86,10,128
3437,32236609,Luxurious King Room at The Wheelhouse Hotel,209354894,Wheelhouse,,Lake View,41.94594,-87.6546,Hotel room,125,1,3,2020-09-01,1.67,5,7
3291,30817981,Hotel Quality Meets Local Living King Room 3C,16090300,John,,West Town,41.90221,-87.67206,Hotel room,128,1,4,2020-08-16,0.19,10,123
2977,28511402,Gorgeous King Room in Boutique Wicker Park B&B,81779,Laura,,West Town,41.90739,-87.67313,Hotel room,138,1,7,2020-08-12,0.29,11,0
1528,18214402,Perfect Location in River North - 1-Bedroom Apt,92467320,FieldHouse,,Near North Side,41.89805,-87.63599,Hotel room,112,1,33,2020-09-01,1.1,8,10
3553,33040726,Close to Mag Mile - Suite in Boutique Hotel,238417227,Ambassador,,Near North Side,41.90487,-87.62858,Hotel room,199,2,0,,,6,43
565,7092080,1 BD Luxury Boutique Apartment,24705990,Rick,,Uptown,41.97195,-87.66733,Hotel room,266,3,32,2019-09-17,0.51,12,282
2084,21860008,Wrigley Hostel - 4 Bed Female Dorm,7391164,Wrigley Hostel,,Lake View,41.94587,-87.65463,Hotel room,35,1,24,2020-09-14,0.72,5,365
3292,30818719,Hotel Quality Meets Local Living King Studio 4C,16090300,John,,West Town,41.90205,-87.67056,Hotel room,128,1,5,2020-06-23,0.79,10,126
3436,32236600,Queen Suite with Balcony near Wrigley - Sleeps 4!,209354894,Wheelhouse,,Lake View,41.94603,-87.65443,Hotel room,131,1,5,2020-08-22,0.54,5,12
2084,21860008,Wrigley Hostel - 4 Bed Female Dorm,7391164,Wrigley Hostel,,Lake View,41.94587,-87.65463,Hotel room,35,1,24,2020-09-14,0.72,5,365
1345,15957773,Traveler's Dream - 1 bed in a shared bedroom,57387860,Freehand,,Near North Side,41.89235,-87.62732,Hotel room,31,7,12,2020-01-10,0.3,24,330
72,642053,Large Double Queen Studio Apartment in Wicker Park,81779,Laura,,West Town,41.90567,-87.67311,Hotel room,160,2,11,2020-03-08,0.12,11,0
3793,34647251,Quadruple Room: Perfect for Friends,57387860,Freehand,,Near North Side,41.89169,-87.61514,Hotel room,126,1,27,2020-03-13,1.91,24,291
185,2305194,Wrigley Hostel - 4 Bed Private Room,7391164,Wrigley Hostel,,Lake View,41.94594,-87.65431,Hotel room,108,1,53,2020-08-09,0.68,5,364
2979,28511708,Queen Room w/ Balcony in Boutique Wicker Park B&B,81779,Laura,,West Town,41.90775,-87.67342,Hotel room,139,1,13,2020-08-09,0.69,11,351
3793,34647251,Quadruple Room: Perfect for Friends,57387860,Freehand,,Near North Side,41.89169,-87.61514,Hotel room,126,1,27,2020-03-13,1.91,24,291
126,1361421,Wrigley Hostel - Queen Bed Room,7391164,Wrigley Hostel,,Lake View,41.9459,-87.65461,Hotel room,105,1,33,2020-08-07,0.41,5,365
3173,29819119,Hotel Perks - Private Bedroom | Private Bathroom,57387860,Freehand,,Near North Side,41.8923,-87.62734,Hotel room,98,3,46,2020-03-12,2.16,24,330
3288,30816729,Hotel Quality Meets Local Living Deluxe Studio 4A,16090300,John,,West Town,41.90253,-87.6721,Hotel room,150,1,10,2020-09-15,0.52,10,132
186,2305230,Wrigley Hostel - 10 Bed Shared Room,7391164,Wrigley Hostel,,Lake View,41.94594,-87.65431,Hotel room,30,1,311,2020-03-12,4.43,5,294
3437,32236609,Luxurious King Room at The Wheelhouse Hotel,209354894,Wheelhouse,,Lake View,41.94594,-87.6546,Hotel room,125,1,3,2020-09-01,1.67,5,7
3435,32236587,Double Queen at The Wheelhouse Hotel,209354894,Wheelhouse,,Lake View,41.94663,-87.65525,Hotel room,128,1,6,2020-08-28,0.34,5,14
843,10947455,Wrigley Hostel - 4 Bed Shared Room,7391164,Wrigley Hostel,,Lake View,41.9459,-87.65461,Hotel room,30,1,127,2020-09-10,2.3,5,365
1343,15950510,Traveler's Dream - 1 bed in a shared bedroom,57387860,Freehand,,Near North Side,41.89235,-87.62732,Hotel room,31,7,14,2020-02-20,0.42,24,331
1345,15957773,Traveler's Dream - 1 bed in a shared bedroom,57387860,Freehand,,Near North Side,41.89235,-87.62732,Hotel room,31,7,12,2020-01-10,0.3,24,330
186,2305230,Wrigley Hostel - 10 Bed Shared Room,7391164,Wrigley Hostel,,Lake View,41.94594,-87.65431,Hotel room,30,1,311,2020-03-12,4.43,5,294
2976,28511296,Luxurious King Room in Boutique Wicker Park B&B,81779,Laura,,West Town,41.90705,-87.6726,Hotel room,149,1,0,,,11,348
2975,28511244,Spacious King Room in Boutique Wicker Park B&B,81779,Laura,,West Town,41.90562,-87.67189,Hotel room,148,1,0,,,11,346
1514,18090895,Loft Apartment River North,92467320,FieldHouse,,Near North Side,41.89808,-87.63522,Hotel room,157,1,48,2020-09-07,1.18,8,7
2358,24222166,Gritty Chic River North + ACME Hotel,176229376,Acme,,Near North Side,41.89148,-87.61543,Hotel room,110,1,89,2020-09-07,3.02,3,166
2297,23683517,Gritty Chic River North --- ACME Hotel,176229376,Acme,,Near North Side,41.89177,-87.61701,Hotel room,169,1,87,2020-08-16,2.88,3,264
2978,28511620,Peaceful King Room in Boutique Wicker Park B&B,81779,Laura,,West Town,41.90712,-87.67359,Hotel room,140,1,0,,,11,347
3174,29819757,Hotel Perks - Private Bedroom | Private Bathroom,57387860,Freehand,,Near North Side,41.8923,-87.62734,Hotel room,98,3,382,2020-09-16,16.93,24,331
185,2305194,Wrigley Hostel - 4 Bed Private Room,7391164,Wrigley Hostel,,Lake View,41.94594,-87.65431,Hotel room,108,1,53,2020-08-09,0.68,5,364
4144,36667074,Steps from Mag Mile - King Bed Boutique Hotel,265201380,St Jane,,Loop,41.88714,-87.62413,Hotel room,9999,1,32,2020-03-22,2.27,3,168
3229,30175946,Traveler's Dream - 1 bed in a shared bedroom,57387860,Freehand,,Near North Side,41.89152,-87.62638,Hotel room,31,4,24,2020-04-16,1.48,24,331
3229,30175946,Traveler's Dream - 1 bed in a shared bedroom,57387860,Freehand,,Near North Side,41.89152,-87.62638,Hotel room,31,4,24,2020-04-16,1.48,24,331
1772,20076199,Hotel Perks - Private Bedroom | Private Bathroom,57387860,Freehand,,Near North Side,41.89235,-87.62732,Hotel room,98,5,82,2020-09-18,2.73,24,331
2084,21860008,Wrigley Hostel - 4 Bed Female Dorm,7391164,Wrigley Hostel,,Lake View,41.94587,-87.65463,Hotel room,35,1,24,2020-09-14,0.72,5,365
1371,16297519,Traveler's Dream - 1 bed in a shared bedroom,57387860,Freehand,,Near North Side,41.89235,-87.62732,Hotel room,31,5,14,2019-12-27,0.41,24,331
3820,34785627,Female Only - 1 Bed in a Shared Bedroom,57387860,Freehand,,Near North Side,41.89319,-87.62832,Hotel room,31,1,24,2020-09-19,1.52,24,331
2274,23578326,Gritty Chic River North - ACME Hotel,176229376,Acme,,Near North Side,41.89299,-87.62788,Hotel room,110,1,117,2020-08-17,3.88,3,66
2979,28511708,Queen Room w/ Balcony in Boutique Wicker Park B&B,81779,Laura,,West Town,41.90775,-87.67342,Hotel room,139,1,13,2020-08-09,0.69,11,351
3174,29819757,Hotel Perks - Private Bedroom | Private Bathroom,57387860,Freehand,,Near North Side,41.8923,-87.62734,Hotel room,98,3,382,2020-09-16,16.93,24,331
1425,16975615,Hotel Perks - Private Bedroom | Private Bathroom,57387860,Freehand,,Near North Side,41.89235,-87.62732,Hotel room,98,7,49,2020-03-13,1.22,24,331
3820,34785627,Female Only - 1 Bed in a Shared Bedroom,57387860,Freehand,,Near North Side,41.89319,-87.62832,Hotel room,31,1,24,2020-09-19,1.52,24,331
2977,28511402,Gorgeous King Room in Boutique Wicker Park B&B,81779,Laura,,West Town,41.90739,-87.67313,Hotel room,138,1,7,2020-08-12,0.29,11,0
5639,42891037,"Fulton Market Living Room, Bathroom, and Bedroom!",341525682,Joe,,West Town,41.88933,-87.65677,Private room,69,1,1,2020-05-02,0.21,1,0
1890,20921013,Comfortable Garden Apartment,149862178,Lv,,Chicago Lawn,41.77692,-87.68819,Private room,35,1,1,2017-09-19,0.03,1,365
34,233933,BROWN ROOM - WALK TO TRAIN TO O'HARE/DOWNTOWN,1224828,Tippi,,Irving Park,41.95602,-87.72781,Private room,55,7,153,2020-02-16,1.4,2,179
3064,29051465,"420 Friendly - Rm#4 ""Mary Jane Suite” Patio/Grill",35342456,Roberto,,Portage Park,41.94046,-87.75738,Private room,63,2,4,2020-08-20,0.17,16,362
2012,21568543,"Blue Room in 3BR/2bath Apt, 5 min to train",9094538,Nicole,,Lake View,41.94027,-87.66565,Private room,35,2,29,2020-08-16,0.83,37,125
1507,18035212,Perfect -2 PVT BdrmsShareBathKitchen,16292516,Michael,,Lake View,41.94421,-87.64993,Private room,495,2,3,2019-05-19,0.12,4,364
3355,31358755,Princess’ Quarters,217927066,Helen,,Austin,41.88393,-87.76538,Private room,28,4,9,2020-08-31,0.51,7,269
6024,44203673,"Clean, Cozy, Quiet Single Room SouthShore Bungalow",28501460,Delia,,South Shore,41.76326,-87.57372,Private room,22,3,0,,,7,346
541,6879574,"Luxury Private Room, Parking, Walk to the UC",29316650,Candace,,Near West Side,41.8842,-87.66499,Private room,156,1,26,2017-01-23,0.41,1,365
4399,38091553,Godfrey Hotel Lifestyle Rooftop 4.5*-Double Deluxe,185021145,Godfrey Hotel,,Near North Side,41.89488,-87.63121,Private room,227,1,17,2020-06-12,1.71,4,365
4827,39692037,Vintage Suite Home Chicago by Park/Sox/Transit,51220896,Kate,,Mckinley Park,41.82346,-87.67165,Private room,54,2,36,2020-09-21,3.39,1,29
4660,39081608,Spacious Room w/ King bed in Lincoln Park,266181286,Chet,,Lincoln Park,41.92954,-87.64537,Private room,119,1,7,2020-03-07,0.62,12,0
5010,40402278,Comfy room 3m from Subway,46820434,Ivan,,North Lawndale,41.85416,-87.70405,Private room,24,3,0,,,4,365
6375,45483118,252 B3 - A Bedroom for One Person in Chinatown,217094024,Helen,,Armour Square,41.85072,-87.63286,Private room,29,1,0,,,14,152
5263,41452433,Open airy high ceiling apartment 10min from Chi,111612962,Jesse,,Bridgeport,41.83517,-87.64187,Private room,65,2,0,,,1,363
5540,42475571,Room with private bathroom,9620140,Rebecca,,Logan Square,41.91897,-87.71709,Private room,22,4,3,2020-04-02,0.45,3,8
5626,42764508,🌺 Bedroom in Art House 🌺,3986873,Elena,,Uptown,41.97314,-87.65651,Private room,43,3,1,2020-03-15,0.16,11,341
2733,26928011,Private Room in Pilsen Chicago for 2,150199112,Alondra,,Lower West Side,41.85165,-87.68055,Private room,70,1,36,2020-03-17,1.36,2,351
1011,13073130,Vintage charm and comfort.,12840063,Kristy,,West Ridge,41.99601,-87.70337,Private room,75,2,0,,,1,364
6314,45347714,Cozy Private Guest Suite!,366601024,Brandon,,Lincoln Park,41.9174,-87.64072,Private room,96,3,0,,,1,30
965,12548411,Vintage bungalow basement suite,68009704,Moizza,,Albany Park,41.97,-87.73339,Private room,33,3,51,2020-09-02,1.37,1,0
2467,24986356,Chicago Chinatown great location（A）（中文房东）,188619114,Ming,,Armour Square,41.85154,-87.63567,Private room,49,1,169,2020-03-18,5.89,2,78
399,5481685,Private bedroom & bathroom in duplex,28428522,Guy,,Rogers Park,42.0151,-87.68063,Private room,40,2,23,2019-05-05,0.35,1,263
3044,28952882,"The Unicorn Room, 8 minutes away from Loop",30277161,Shawn,,Near West Side,41.86166,-87.65028,Private room,50,1,21,2019-07-31,0.9,1,0
262,3303813,The Roscoe House: Green Room,5960265,Garrett And Courtney,,Lake View,41.94279,-87.65548,Private room,70,2,81,2020-02-16,1.06,4,314
2201,22882236,Chic modern room in cute Lincoln Square apartment.,21427979,Angelica,,Lincoln Square,41.97373,-87.69774,Private room,50,2,8,2020-08-31,0.29,2,273
1402,16674476,Cozy apartment near Michigan lake shore,110322183,Lanxiang,,Edgewater,41.97748,-87.65637,Private room,49,1,284,2020-08-09,6.56,1,83
2831,27572340,Chicago Multi-unit building,161487535,Ryan,,South Shore,41.76085,-87.56208,Private room,34,2,3,2019-10-04,0.12,2,236
1842,20636276,Amazing modern condo with incredible park views,57401134,Yonah,,West Town,41.90985,-87.69732,Private room,59,1,43,2018-10-19,1.16,1,175
774,9610654,Boutique Double Hotel Suite Borders Andersonville and Uptown,24705990,Rick,,Uptown,41.96977,-87.66799,Private room,282,2,6,2019-05-18,0.11,12,344
2853,27730241,Room for rent,62407063,Nestor,,Lower West Side,41.85528,-87.65905,Private room,80,12,0,,,1,179
65,585353,Great neighborhood! Price Drop *,2885441,Tracy,,West Town,41.88961,-87.66268,Private room,57,1,127,2020-01-20,1.27,6,263
1330,15874365,(1EV) 2Blks to Univ of Chicago歡迎 أهلا بكस्वागत हे,20665511,Skye,,Woodlawn,41.7837,-87.60623,Private room,30,5,23,2019-04-29,0.49,9,363
5868,43701611,Hyde Park/UC Newly Renovated Private Room #2,348938093,Andy,,Kenwood,41.8068,-87.60646,Private room,42,1,12,2020-09-05,3.91,3,77
3062,29050721,420 Friendly Rm2 The Puuurrrfect Suite Patio/Grill,35342456,Roberto,,Portage Park,41.94049,-87.75681,Private room,71,2,0,,,16,365
1118,14115706,Private Room in Cozy Townhouse (J B P DuSable),35412645,Aughty,,Greater Grand Crossing,41.76711,-87.62927,Private room,29,3,45,2020-08-13,0.91,5,125
5252,41403772,Taste Room,144272812,Christian,,Dunning,41.9495,-87.80756,Private room,45,3,0,,,1,358
4187,36912569,Hattie’s House,247610337,Marcos,,West Town,41.89813,-87.69572,Private room,35,1,48,2020-09-09,3.48,1,73
2913,27996059,Private Bed and Bath near transit and UChicago,7891549,Laura (Lisa) Elizabeth,,Woodlawn,41.77392,-87.59369,Private room,36,1,31,2020-03-01,1.79,4,0
598,7562307,LT - 420 Friendly Rm#3 Great 4 Business/Studies,35342456,Roberto,,Portage Park,41.94025,-87.75691,Private room,49,31,26,2019-11-16,0.43,16,364
4805,39608107,Near UChicago Happy Home Private w/ Free Parking,91186260,Jessie,,Washington Park,41.79677,-87.62689,Private room,28,6,3,2020-01-02,0.29,6,1
176,2075573,Water Tower Experience at Ellis Place,2465946,Becky & John,,Oakland,41.82926,-87.60859,Private room,63,1,208,2020-08-03,2.53,4,361
219,2688739,Luxury finishes in vintage wood trimmed apartment,12416635,David,,Near West Side,41.86759,-87.68204,Private room,87,1,31,2018-08-25,0.4,3,324
3282,30762545,"King Bedroom, Weekend Crash Pad! *LGBT Friendly!",11093060,Aaroosh,,Uptown,41.96527,-87.66756,Private room,35,2,0,,,1,0
4482,38429234,"3 GUESTS, CLEAN COZY DOWNTOWN APARTMENT + PARKING!",55976787,Natalia,,Near West Side,41.86982,-87.65281,Private room,25,10,54,2020-06-14,4.46,11,149
2148,22470940,Priv. BR/BA in French Bungalow - Near Lincoln Sq.,25252775,Jane,,Lincoln Square,41.96735,-87.69119,Private room,45,2,30,2020-07-13,0.9,1,356
1651,19161997,Awesome Lofted Room in the heart of Downtown!,13504796,Y,,Loop,41.88393,-87.62677,Private room,60,3,0,,,1,19
5049,40604956,Luxury City View Bedroom with bathroom Short Rent,98789446,姿漪,,Loop,41.87079,-87.62417,Private room,45,7,1,2020-01-04,0.11,1,0
2805,27436176,G3. Next to Downtown! Best location & affordable!,191267705,Josana,,Logan Square,41.91867,-87.69498,Private room,39,30,136,2020-03-18,5.24,3,80
1265,15464357,Short stay-Warm and Cozy room in Beautiful Condo,18742622,Barbara,,Rogers Park,42.02105,-87.673,Private room,45,3,80,2020-08-24,1.68,2,87
6184,44913825,"Close to the city center,  bars, restaurants,",204853932,Lina,,Uptown,41.9596,-87.65635,Private room,40,1,0,,,1,170
2260,23455723,Wonderful guestroom in Chinatown!,40958585,Dorian,,Armour Square,41.84902,-87.63512,Private room,105,4,25,2019-10-14,0.82,2,269
18,110705,Fab Value!/ Spa /Deck/ARAGON/RIVIERA/TRAIN/CUBS/,272671,Two For The Road,,Uptown,41.9693,-87.65621,Private room,99,2,149,2020-07-19,1.31,5,363
98,949514,Modern Loft-Style Pad in Wicker!,5148353,Steven,,West Town,41.90677,-87.66788,Private room,50,3,133,2020-03-02,1.45,1,0
3746,34357910,Cozy Bridgeport Refuge,3921883,Kent,,Bridgeport,41.84299,-87.64057,Private room,40,2,27,2020-03-19,1.64,1,0
5029,40479341,South Shore Bungalow studio apt beach 10 min walk,28501460,Delia,,South Shore,41.76414,-87.57395,Private room,35,3,0,,,7,358
5464,42156256,Comfy room in a traditional Chicago bungalow,66196542,Carley,,Hermosa,41.91391,-87.7356,Private room,35,2,1,2020-03-08,0.15,1,0
5976,44132255,Private Room with Private Bath in Wicker Hotel,13999922,Holiday,,West Town,41.90209,-87.67011,Private room,200,1,0,,,1,362
5330,41746133,At United Center/Very Close to Down Town,45735396,Emrah,,Near West Side,41.879,-87.68359,Private room,15,1,0,,,4,324
985,12805999,2QueenSizeBedPrivateRmGreenLineTrain,42524732,Kay,,Grand Boulevard,41.81449,-87.62124,Private room,39,1,16,2019-10-15,0.31,11,365
296,3811926,The Blue Room,11231030,Erik,,West Lawn,41.78384,-87.72759,Private room,34,1,413,2020-09-06,5.54,2,360
5189,41175025,Newly Renovated Clean Apt Room Across Massive Park,36904978,Kevin,,Avondale,41.93243,-87.72381,Private room,83,1,2,2020-02-29,0.24,2,90
4333,37751102,A Stylish Stay in Chicago's Wicker Park.,285479498,Christopher,,West Town,41.90953,-87.68343,Private room,90,2,4,2019-09-20,0.31,1,60
4841,39748064,House 5863- 1st Floor 2 Bedroom Suite,3730806,Erickson,,Edgewater,41.98818,-87.66407,Private room,524,1,0,,,6,230
2231,23186981,Cozy Ukrainian Village Space,142471041,Micheal,,West Town,41.89677,-87.69446,Private room,44,1,1,2018-03-11,0.03,1,0
167,1954633,Lincoln Park/DePaul  - Private room & bathroom,3217364,Mary Kay,,Lincoln Park,41.93101,-87.65878,Private room,107,1,183,2020-09-06,2.36,1,354
1610,18855639,West Town Living in a Bright and Private Room,96093069,Sujata,,West Town,41.89285,-87.66143,Private room,110,1,66,2019-10-20,1.65,2,81
2231,23186981,Cozy Ukrainian Village Space,142471041,Micheal,,West Town,41.89677,-87.69446,Private room,44,1,1,2018-03-11,0.03,1,0
4285,37454066,3RF Attached Priv Bath/Priv Room Steps from S Loop,100782278,Emily & Rich,,Bridgeport,41.84287,-87.64055,Private room,54,41,0,,,28,325
2851,27721072,雅居,209282256,May,,Brighton Park,41.81276,-87.70947,Private room,42,1,13,2019-10-23,0.55,1,83
4120,36537948,Private cozy bedroom -  Long term welcome,109250316,Veronica,,Ashburn,41.73818,-87.69481,Private room,48,3,4,2019-10-21,0.29,1,89
114,1142328,HUGE West Loop Artist Loft,6264764,Jeff And Jennifer,,Near West Side,41.88387,-87.65107,Private room,110,3,71,2017-03-04,0.79,2,362
1934,21180306,"Cozy,Adorable&Affordable!JETBATH!spotless space",152918055,Tiffany,,Austin,41.8857,-87.77462,Private room,42,1,41,2020-06-28,1.28,5,170
979,12762936,Peace Home,69431652,Stella,,West Ridge,41.99738,-87.69713,Private room,65,1,1,2019-05-19,0.06,1,364
2369,24269769,~ ELEGANT CHICAGO RESIDENCE ~ FREE PARKING,94561128,Alex,,Albany Park,41.9655,-87.71081,Private room,71,32,66,2020-05-04,2.23,11,78
119,1225964,Chicago 10 Minutes to MAG MILE!,6687262,Sharon,,Lake View,41.93804,-87.64134,Private room,70,2,9,2014-05-05,0.1,1,358
1428,17030100,Huge Master bedroom w/ private deck in a duplex,2455602,Gildas,,West Town,41.90994,-87.6723,Private room,100,6,8,2017-04-30,0.18,1,0
1266,15479556,Edgewater Quietude - Combined 2 Bedrooms,3212030,Bobby,,Edgewater,41.9893,-87.66224,Private room,110,1,64,2020-07-19,1.37,3,265
6366,45465696,Cozy Garden Room in the middle of Boystown!,8803468,Ashley,,Lake View,41.94578,-87.64852,Private room,92,1,1,2020-09-19,1.0,4,330
1991,21471452,"Ukrainian Village, CUTE FLAT, close to Wicker Park",155923369,Elizabeth,,West Town,41.89643,-87.68014,Private room,75,1,0,,,1,0
174,2051690,Extra Bedroom with private entrance,10514167,Mona,,West Ridge,41.98864,-87.69345,Private room,45,30,23,2020-08-15,0.29,2,316
2290,23642222,Bronzeville Room Near Beach!,21014989,Corinne,,Grand Boulevard,41.81344,-87.61123,Private room,50,1,1,2019-06-02,0.06,2,89
6035,44228873,Old Irving Park/ Avondale Free Street Parking,31378386,Proper Stays,,Irving Park,41.94269,-87.73122,Private room,36,30,0,,,9,144
4094,36422429,Private space in beautiful 1905 Irving Park home,111959055,Tony,,Irving Park,41.95846,-87.71921,Private room,45,1,16,2020-03-07,1.1,2,0
2425,24689136,B1 - Next to Downtown Chicago - Private Room,109075524,Alejandra,,Near West Side,41.87574,-87.67886,Private room,46,3,169,2020-08-31,5.8,9,81
6362,45456904,"Private Master Bedroom, Jacuzzi, Outdoor Patio",360749537,Jessica,,West Town,41.89892,-87.68858,Private room,50,1,0,,,3,138
4087,36321241,"Master Bedroom near IIT, McCormick PL, free parkin",40832200,Michael,,Douglas,41.83306,-87.61832,Private room,52,2,24,2020-08-31,1.66,2,77
3257,30502809,"West Loop, Chicago 1 Bedroom/Bath",228917778,Sonya,,Near West Side,41.87813,-87.64544,Private room,50,7,0,,,1,0
4187,36912569,Hattie’s House,247610337,Marcos,,West Town,41.89813,-87.69572,Private room,35,1,48,2020-09-09,3.48,1,73
4141,36638326,Woodlawn/ Hyde Park. UChicago. Train. Private bath,1385332,Patt,,Woodlawn,41.78349,-87.60576,Private room,32,32,3,2020-06-30,0.36,12,324
1837,20591362,Modern Bedroom in Vintage Apartment,20823027,Rich,,North Center,41.9511,-87.67948,Private room,70,1,22,2018-08-23,0.59,1,0
2486,25092958,private room queen (K2),36549783,Jeffrey,,Irving Park,41.96342,-87.73446,Private room,59,2,7,2020-04-07,0.27,12,266
2155,22569267,ALL-STAR WEEKEND GETAWAY 5 min from UNITED CENTER,77371165,Anna,,West Garfield Park,41.87517,-87.73437,Private room,36,1,18,2019-12-06,0.55,1,0
